Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Minneapolis Lakers*,68,,2139,5832,0.367,,,,2139,5832,0.367,1439,1943,0.741,,,,1406,,,,1672,5717
2.0,Rochester Royals*,68,,1956,5247,0.373,,,,1956,5247,0.373,1690,2319,0.729,,,,1383,,,,1585,5602
3.0,Anderson Packers*,64,,1943,6254,0.311,,,,1943,6254,0.311,1703,2343,0.727,,,,1240,,,,1806,5589
4.0,Indianapolis Olympians*,64,,1982,5283,0.375,,,,1982,5283,0.375,1529,2145,0.713,,,,1342,,,,1676,5493
5.0,New York Knicks*,68,,1889,5351,0.353,,,,1889,5351,0.353,1710,2404,0.711,,,,1308,,,,1718,5488
6.0,Syracuse Nationals*,64,,1869,5276,0.354,,,,1869,5276,0.354,1691,2396,0.706,,,,1473,,,,1833,5429
7.0,Boston Celtics,68,,1945,5756,0.338,,,,1945,5756,0.338,1530,2163,0.707,,,,1473,,,,1644,5420
8.0,Fort Wayne Pistons*,68,,1878,5901,0.318,,,,1878,5901,0.318,1634,2331,0.701,,,,1364,,,,2065,5390
9.0,Chicago Stags*,68,,2003,5892,0.34,,,,2003,5892,0.34,1346,1934,0.696,,,,1366,,,,1977,5352
10.0,Tri-Cities Blackhawks*,64,,1818,5515,0.33,,,,1818,5515,0.33,1677,2308,0.727,,,,1330,,,,2057,5313
11.0,Washington Capitols*,68,,1813,5493,0.33,,,,1813,5493,0.33,1575,2111,0.746,,,,1057,,,,1837,5201
12.0,Sheboygan Red Skins*,62,,1727,5022,0.344,,,,1727,5022,0.344,1654,2338,0.707,,,,1279,,,,1766,5108
13.0,St. Louis Bombers,68,,1741,5086,0.342,,,,1741,5086,0.342,1528,2149,0.711,,,,1285,,,,1596,5010
14.0,Philadelphia Warriors*,68,,1779,5711,0.312,,,,1779,5711,0.312,1425,2037,0.7,,,,1142,,,,1768,4983
15.0,Baltimore Bullets,68,,1712,5516,0.31,,,,1712,5516,0.31,1549,2123,0.73,,,,1189,,,,1792,4973
16.0,Waterloo Hawks,62,,1746,4904,0.356,,,,1746,4904,0.356,1429,2002,0.714,,,,1324,,,,1780,4921
17.0,Denver Nuggets,62,,1731,5182,0.334,,,,1731,5182,0.334,1355,1999,0.678,,,,1044,,,,1692,4817
